Date,Close,Name
2023-01-02,3.98,CD91
2023-01-03,3.96,CD91
2023-01-04,3.96,CD91
2023-01-05,3.96,CD91
2023-01-06,3.92,CD91
2023-01-09,3.92,CD91
2023-01-10,3.9,CD91
2023-01-11,3.88,CD91
2023-01-12,3.87,CD91
2023-01-13,3.88,CD91
2023-01-16,3.79,CD91
2023-01-17,3.74,CD91
2023-01-18,3.7,CD91
2023-01-19,3.68,CD91
2023-01-20,3.67,CD91
2023-01-23,3.67,CD91
2023-01-24,3.67,CD91
2023-01-25,3.66,CD91
2023-01-26,3.65,CD91
2023-01-27,3.64,CD91
2023-01-30,3.63,CD91
2023-01-31,3.63,CD91
2023-02-01,3.59,CD91
2023-02-02,3.52,CD91
2023-02-03,3.49,CD91
2023-02-06,3.47,CD91
2023-02-07,3.46,CD91
2023-02-08,3.46,CD91
2023-02-09,3.46,CD91
2023-02-10,3.47,CD91
2023-02-13,3.48,CD91
2023-02-14,3.48,CD91
2023-02-15,3.49,CD91
2023-02-16,3.5,CD91
2023-02-17,3.52,CD91
2023-02-20,3.53,CD91
2023-02-21,3.54,CD91
2023-02-22,3.56,CD91
2023-02-23,3.59,CD91
2023-02-24,3.59,CD91
2023-02-27,3.59,CD91
2023-02-28,3.59,CD91
2023-03-01,3.59,CD91
2023-03-02,3.61,CD91
2023-03-03,3.61,CD91
2023-03-06,3.61,CD91
2023-03-07,3.61,CD91
2023-03-08,3.61,CD91
2023-03-09,3.61,CD91
2023-03-10,3.61,CD91
2023-03-13,3.61,CD91
2023-03-14,3.61,CD91
2023-03-15,3.61,CD91
2023-03-16,3.62,CD91
2023-03-17,3.62,CD91
2023-03-20,3.62,CD91
2023-03-21,3.62,CD91
2023-03-22,3.62,CD91
2023-03-23,3.62,CD91
2023-03-24,3.59,CD91
2023-03-27,3.59,CD91
2023-03-28,3.59,CD91
2023-03-29,3.59,CD91
2023-03-30,3.59,CD91
2023-03-31,3.59,CD91
2023-04-03,3.59,CD91
2023-04-04,3.59,CD91
2023-04-05,3.59,CD91
2023-04-06,3.58,CD91
2023-04-07,3.53,CD91
2023-04-10,3.51,CD91
2023-04-11,3.48,CD91
2023-04-12,3.43,CD91
2023-04-13,3.43,CD91
2023-04-14,3.43,CD91
2023-04-17,3.43,CD91
2023-04-18,3.44,CD91
2023-04-19,3.45,CD91
2023-04-20,3.47,CD91
2023-04-21,3.49,CD91
2023-04-24,3.49,CD91
2023-04-25,3.49,CD91
2023-04-26,3.5,CD91
2023-04-27,3.52,CD91
2023-04-28,3.52,CD91
2023-05-01,3.52,CD91
2023-05-02,3.53,CD91
2023-05-03,3.55,CD91
2023-05-04,3.55,CD91
2023-05-05,3.55,CD91
2023-05-08,3.55,CD91
2023-05-09,3.55,CD91
2023-05-10,3.59,CD91
2023-05-11,3.6,CD91
2023-05-12,3.61,CD91
2023-05-15,3.62,CD91
2023-05-16,3.62,CD91
2023-05-17,3.65,CD91
2023-05-18,3.65,CD91
